ssn,annual_income
196009434,28200
196059699,172100
196185634,23100
196194128,75800
196303803,45800
196454177,45800
196497508,69000
196633746,36900
196649285,23400
196743671,51100
196864368,16400
197083197,66500
197134448,72600
197442336,49600
197623361,89000
197638492,36600
197874651,68900
198098116,16100
198141609,89800
198193950,13200
198276625,42300
198429101,88900
198870280,79900
198975210,53300
199024941,11800
199061421,59200
199098510,11600
199109265,51000
199245839,11500
199613776,78100
199892388,76100
200050332,51400
200117509,10300
200176599,53500
200356913,58500
200614896,25500
200618623,64600
200720409,15800
200732310,38300
200897375,49700
200954545,36800
201113178,80600
201217302,82900
201272595,37500
201290179,64300
201442258,10100
201670659,52700
202256064,16200
202268023,19200
202319135,56500
202374763,56700
202500763,69500
202517737,80500
202536764,17300
202539450,67000
202539587,56000
202662630,86200
202955628,11100
203046730,30900
203116600,52700
203247962,50700
203265501,23200
203456431,32600
203636571,19700
203644905,78500
203846889,79700
204214505,42000
204256047,15700
204526571,81900
204589749,67900
204773032,65900
205250036,79000
205436926,28000
205445653,49500
205458096,51200
205550216,44100
205767740,77000
205938644,33900
206016127,38900
206048327,73600
206094032,59700
206157832,25300
206159970,26900
206296191,18900
206643051,46800
206654762,38300
206736912,86900
206818573,70500
207176741,37000
207179318,79500
207220994,38200
207384812,45000
207428401,59400
207533667,56500
207539793,31300
207580234,73100
207603125,72400
207652233,72800
207680702,68300
207689983,66300
207802002,69700
207814588,34000
207885840,18300
208006636,78000
208069966,70000
208325677,33500
208327008,25300
208359813,41600
208586364,45300
208643558,25800
208676025,446200
208720044,70100
208821070,17200
209023375,86200
209769759,70700
209894743,61700
210177080,30700
210240543,30900
210248425,44300
210311727,290000
210324452,12200
210351059,85600
210392014,13300
210429368,73100
210442237,35300
210715397,62000
210824033,22000
210942952,72000
210994010,73300
211047647,83500
211172374,43100
211348429,89300
211414439,23300
211618507,51100
211885265,64700
212241746,59600
212251552,34400
212275911,89500
212279394,87400
212414461,62800
212481014,80200
212514896,48800
212525673,63600
213001047,22200
213062383,21400
213254944,12300
213278876,26700
213356135,46100
213392254,20000
213665325,42500
213783400,16600
213893785,67700
213956168,24900
214010171,28900
214019242,20900
214032382,35600
214199055,62600
214412026,51700
214501821,87600
214713420,88100
214715719,52500
214799742,79100
215039924,61200
215083145,38800
215266488,56400
215403489,326400
215403824,66900
215733635,82800
215845193,32100
215917206,41700
216059344,89300
216212100,41800
216315299,77700
216426943,49800
217153348,59900
217277929,55200
217364380,70600
217402018,59600
217526051,36300
217527986,58000
218050377,14700
218064623,78200
218176495,25900
218223105,85000
218506542,81400
218579951,20600
218598791,23500
218707391,32800
218829469,43600
218929246,47000
219145542,40400
219319644,87900
219442594,53000
